index,Year,S1,S2,S3,S4,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,rate_of_SST_change,reef_longitude,reef_latitude,Month,eta,salt,temp,wspeed_u,wspeed_v,mean_wspeed,u,v,mean_cur
8518,2014.0,1.0,1.0,1.0,1.0,1.0,295.77,299.64,299.21,292.58,306.14,2.94,4.0,0.86,1.02,0.0,-3.04,3.59,8.0,5.96,30.0,7.0,1.7700000000000002,3.91,23.3,2.93,-2.96,2.94,-10.01,3.53,-3.3799999999999994,0.0,2.04,9.0,1.0,0.0,2.12,17.68,0.7,0.026363636,146.8151667,-19.19833333,5.0,0.08066641063414634,34.89632453658536,26.05761043902439,-4.031003368292683,3.569802987804878,6.275482726829268,-0.08047269569512196,0.054194050909756104,0.17685335717073172
8519,2015.0,5.0,20.0,10.0,0.0,8.75,296.78,296.54,299.21,292.58,306.14,2.94,5.0,1.64,1.02,0.0,-3.04,3.59,16.0,5.96,30.0,7.0,4.1,3.91,23.3,2.93,-6.06,2.94,-10.01,3.53,-3.3799999999999994,2.0,2.04,9.0,1.0,0.0,2.12,17.68,0.7,0.026363636,146.8151667,-19.19833333,7.0,-0.029199266658536588,35.84794741463415,23.08922819512195,-3.3426170219512192,3.402055324390244,5.639099904878049,-0.04380809262926829,0.01801649596,0.15273545104878047
8520,2014.0,3.0,3.0,3.0,3.0,3.0,295.77,299.64,299.21,292.58,306.14,2.94,4.0,0.86,1.02,0.0,-3.04,3.59,8.0,5.96,30.0,7.0,1.7700000000000002,3.91,23.3,2.93,-2.96,2.94,-10.01,3.53,-3.3799999999999994,0.0,2.04,9.0,1.0,0.0,2.12,17.68,0.7,0.026363636,146.815,-19.19805556,5.0,0.08066641063414634,34.89632453658536,26.05761043902439,-4.031003368292683,3.569802987804878,6.275482726829268,-0.08047269569512196,0.054194050909756104,0.17685335717073172
8521,2015.0,0.0,1.0,15.0,10.0,6.5,296.78,296.54,299.21,292.58,306.14,2.94,5.0,1.64,1.02,0.0,-3.04,3.59,16.0,5.96,30.0,7.0,4.1,3.91,23.3,2.93,-6.06,2.94,-10.01,3.53,-3.3799999999999994,2.0,2.04,9.0,1.0,0.0,2.12,17.68,0.7,0.026363636,146.815,-19.19805556,7.0,-0.029199266658536588,35.84794741463415,23.08922819512195,-3.3426170219512192,3.402055324390244,5.639099904878049,-0.04380809262926829,0.01801649596,0.15273545104878047
8522,2015.0,20.0,35.0,40.0,20.0,28.75,298.87,298.16,299.6,294.11,306.36,2.07,4.0,0.83,0.88,0.0,-4.04,4.82,5.0,5.63,26.0,6.0,0.0,3.31,18.81,2.17,-4.1,2.07,-8.14,4.09,-2.65,3.0,1.53,6.0,1.0,0.0,1.44,10.14,0.56,0.018762626,145.864,-16.24166667,8.0,0.015004532293050848,35.34273659322034,24.620163847457626,-4.035694820338983,4.153191798305085,6.170029277966102,-0.02828425961016949,-0.10175990321881356,0.20602817950847457
8523,2014.0,2.0,1.0,1.0,2.0,1.5,297.5,297.18000000000006,299.59,294.85,305.79,2.09,7.0,0.27,0.85,0.0,-3.46,4.23,4.0,6.09,31.0,6.0,0.0,3.16,17.6,2.11,-5.120000000000001,2.09,-7.44,3.49,-2.7,0.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42,0.020984847999999997,146.2044444,-16.8725,7.0,0.057052168122807015,35.221162684210526,24.418999789473684,-4.144148542105263,5.183193087719298,7.082099752631579,-0.10915115131578948,0.05040042152561404,0.18479964424561404
8524,2015.0,100.0,100.0,50.0,20.0,67.5,299.47,297.88,299.59,294.85,305.79,2.09,7.0,0.22000000000000003,0.85,0.0,-3.46,4.23,9.0,6.09,31.0,6.0,1.14,3.16,17.6,2.11,-4.42,2.09,-7.44,3.49,-2.7,5.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42,0.020984847999999997,146.2044444,-16.8725,9.0,-0.01736260715263158,35.38327375438597,25.435667228070177,-4.29661063508772,3.066593957894737,6.097949484210527,0.032965118724561406,-0.13739807194561404,0.26434665519298245
8525,2015.0,1.0,5.0,2.0,5.0,3.25,299.42,297.94,299.57,295.1,306.69,2.02,7.0,0.22,0.84,0.0,-4.07,5.19,7.0,5.04,27.0,5.0,0.0,2.81,17.18,1.94,-4.27,2.02,-7.1,4.48,-2.63,4.0,1.36,6.0,1.0,0.0,1.17,9.78,0.43,0.020984848,146.0011111,-16.5125,9.0,-0.002239958807692308,35.36312216923077,25.45641326153846,-4.577215236923077,3.359492476923077,6.305053083076923,0.016023398744615384,-0.15065824473015385,0.2701313789230769
8526,2015.0,5.0,2.0,10.0,0.0,4.25,299.66,299.3,296.8,291.83,301.66,2.15,7.0,0.28,0.71,0.0,-2.64,2.83,5.0,3.34,18.0,3.0,3.6,1.87,10.260000000000002,1.21,-0.36,2.15,-7.82,2.0,-2.85,1.0,1.1,4.0,0.0,1.38,0.77,5.35,0.23,0.038888888,153.4838889,-26.9775,1.0,-0.11238410693103448,35.29033486206897,27.514068637931032,-3.149931772413793,-0.22551424658620692,5.995712396551725,0.004131199555172414,-0.19386189346034483,0.35881689741379313
8527,2016.0,1.0,1.0,0.0,1.0,0.75,299.62,299.57000000000005,296.8,291.83,301.66,2.15,5.0,0.37,0.71,0.0,-2.64,2.83,9.0,3.34,18.0,3.0,0.0,1.87,10.260000000000002,1.21,-0.09,2.15,-7.82,2.0,-2.85,0.0,1.1,4.0,0.0,0.0,0.77,5.35,0.23,0.038888888,153.4838889,-26.9775,1.0,-0.22009471196551725,35.46847898275862,26.74975196551724,-2.117966048275862,0.3570094096551724,6.021218836206896,-0.01947665084086207,-0.36514198667068964,0.4955801106896552
8528,2015.0,1.0,1.0,1.0,1.0,1.0,299.66,299.3,296.8,291.83,301.66,2.15,7.0,0.28,0.71,0.0,-2.64,2.83,5.0,3.34,18.0,3.0,3.6,1.87,10.260000000000002,1.21,-0.36,2.15,-7.82,2.0,-2.85,1.0,1.1,4.0,0.0,1.38,0.77,5.35,0.23,0.038888888,153.4881667,-26.979888890000005,1.0,-0.11238410693103448,35.29033486206897,27.514068637931032,-3.149931772413793,-0.22551424658620692,5.995712396551725,0.004131199555172414,-0.19386189346034483,0.35881689741379313
8529,2015.0,40.0,40.0,30.0,30.0,35.0,299.55,298.05,296.8,291.83,301.66,2.15,7.0,-0.12,0.71,0.0,-2.64,2.83,10.0,3.34,18.0,3.0,3.6,1.87,10.260000000000002,1.21,-1.61,2.15,-7.82,2.0,-2.85,1.0,1.1,4.0,0.0,0.0,0.77,5.35,0.23,0.038888888,153.4881667,-26.979888890000005,12.0,-0.2038928705172414,35.52796424137931,25.944637948275865,-2.822778324137931,2.167575225862069,6.79019020862069,-0.029328634868965517,-0.3205570861637931,0.46935912551724135
8530,2014.0,5.0,5.0,0.0,5.0,3.75,299.06,297.95,296.8,291.54,302.69,2.18,8.0,0.74,0.8,0.0,-3.39,3.02,5.0,4.48,22.0,4.0,1.48,2.34,12.620000000000001,1.6,-1.73,2.18,-8.13,3.0,-2.87,0.0,1.38,5.0,0.0,0.0,1.05,7.27,0.33,0.041287878,153.5261111,-27.41430556,11.0,-0.18417844742307693,35.634330038461535,24.62243396153846,-2.126075401923077,-3.439944011538462,6.685837778846154,0.02789099612423077,-0.4492407852192307,0.5516341895384616
